No of Trainings | Percentage0th training :=  Win Percent :21.9 | Draw Percent :13.3 | Lost Percent :64.8
229th training :=  Win Percent :22.6 | Draw Percent :14.6 | Lost Percent :62.8
230th training :=  Win Percent :21.7 | Draw Percent :15.6 | Lost Percent :62.7
231th training :=  Win Percent :22.8 | Draw Percent :13.9 | Lost Percent :63.3
232th training :=  Win Percent :22.6 | Draw Percent :15.5 | Lost Percent :61.9
233th training :=  Win Percent :21.9 | Draw Percent :13.6 | Lost Percent :64.5
234th training :=  Win Percent :22.7 | Draw Percent :16.6 | Lost Percent :60.7
235th training :=  Win Percent :20.7 | Draw Percent :13.1 | Lost Percent :66.2
236th training :=  Win Percent :21.8 | Draw Percent :14.4 | Lost Percent :63.8
237th training :=  Win Percent :23.4 | Draw Percent :14.4 | Lost Percent :62.2
238th training :=  Win Percent :23.6 | Draw Percent :14 | Lost Percent :62.4
239th training :=  Win Percent :24 | Draw Percent :14.4 | Lost Percent :61.6
240th training :=  Win Percent :21 | Draw Percent :15.8 | Lost Percent :63.2
241th training :=  Win Percent :22.7 | Draw Percent :15.8 | Lost Percent :61.5
242th training :=  Win Percent :25.1 | Draw Percent :13.6 | Lost Percent :61.3
243th training :=  Win Percent :23 | Draw Percent :16 | Lost Percent :61
244th training :=  Win Percent :23.7 | Draw Percent :13.5 | Lost Percent :62.8
245th training :=  Win Percent :25.7 | Draw Percent :13.2 | Lost Percent :61.1
246th training :=  Win Percent :19.5 | Draw Percent :15.1 | Lost Percent :65.4
247th training :=  Win Percent :24 | Draw Percent :13.8 | Lost Percent :62.2
248th training :=  Win Percent :23.5 | Draw Percent :16.8 | Lost Percent :59.7
249th training :=  Win Percent :20.8 | Draw Percent :14.9 | Lost Percent :64.3
250th training :=  Win Percent :22.8 | Draw Percent :15.5 | Lost Percent :61.7
251th training :=  Win Percent :24.1 | Draw Percent :15.3 | Lost Percent :60.6
252th training :=  Win Percent :20 | Draw Percent :14.2 | Lost Percent :65.8
253th training :=  Win Percent :21.6 | Draw Percent :16.4 | Lost Percent :62
