No of Trainings | Percentage0th training :=  Win Percent :70 | Draw Percent :30
277th training :=  Win Percent :90 | Draw Percent :10
278th training :=  Win Percent :90 | Draw Percent :10
279th training :=  Win Percent :90 | Draw Percent :10
280th training :=  Win Percent :100 | Draw Percent :0
281th training :=  Win Percent :80 | Draw Percent :20
282th training :=  Win Percent :80 | Draw Percent :10
283th training :=  Win Percent :100 | Draw Percent :0
284th training :=  Win Percent :100 | Draw Percent :0
285th training :=  Win Percent :90 | Draw Percent :10
286th training :=  Win Percent :90 | Draw Percent :10
287th training :=  Win Percent :90 | Draw Percent :10
288th training :=  Win Percent :100 | Draw Percent :0
289th training :=  Win Percent :100 | Draw Percent :0
290th training :=  Win Percent :100 | Draw Percent :0
291th training :=  Win Percent :90 | Draw Percent :0
292th training :=  Win Percent :100 | Draw Percent :0
293th training :=  Win Percent :100 | Draw Percent :0
294th training :=  Win Percent :100 | Draw Percent :0
295th training :=  Win Percent :80 | Draw Percent :20
296th training :=  Win Percent :100 | Draw Percent :0
297th training :=  Win Percent :100 | Draw Percent :0
298th training :=  Win Percent :100 | Draw Percent :0
299th training :=  Win Percent :100 | Draw Percent :0
300th training :=  Win Percent :90 | Draw Percent :10
301th training :=  Win Percent :100 | Draw Percent :0
302th training :=  Win Percent :90 | Draw Percent :10
303th training :=  Win Percent :90 | Draw Percent :10
304th training :=  Win Percent :100 | Draw Percent :0
305th training :=  Win Percent :100 | Draw Percent :0
306th training :=  Win Percent :100 | Draw Percent :0
307th training :=  Win Percent :100 | Draw Percent :0
308th training :=  Win Percent :90 | Draw Percent :10
309th training :=  Win Percent :100 | Draw Percent :0
310th training :=  Win Percent :100 | Draw Percent :0
311th training :=  Win Percent :100 | Draw Percent :0
312th training :=  Win Percent :90 | Draw Percent :0
313th training :=  Win Percent :100 | Draw Percent :0
314th training :=  Win Percent :90 | Draw Percent :10
315th training :=  Win Percent :100 | Draw Percent :0
316th training :=  Win Percent :90 | Draw Percent :10
317th training :=  Win Percent :100 | Draw Percent :0
318th training :=  Win Percent :90 | Draw Percent :10
319th training :=  Win Percent :100 | Draw Percent :0
320th training :=  Win Percent :100 | Draw Percent :0
321th training :=  Win Percent :100 | Draw Percent :0
322th training :=  Win Percent :100 | Draw Percent :0
323th training :=  Win Percent :100 | Draw Percent :0
324th training :=  Win Percent :100 | Draw Percent :0
325th training :=  Win Percent :100 | Draw Percent :0
326th training :=  Win Percent :90 | Draw Percent :10
327th training :=  Win Percent :100 | Draw Percent :0
328th training :=  Win Percent :100 | Draw Percent :0
329th training :=  Win Percent :100 | Draw Percent :0
330th training :=  Win Percent :100 | Draw Percent :0
331th training :=  Win Percent :100 | Draw Percent :0
332th training :=  Win Percent :100 | Draw Percent :0
333th training :=  Win Percent :100 | Draw Percent :0
334th training :=  Win Percent :90 | Draw Percent :10
335th training :=  Win Percent :100 | Draw Percent :0
336th training :=  Win Percent :100 | Draw Percent :0
337th training :=  Win Percent :100 | Draw Percent :0
338th training :=  Win Percent :100 | Draw Percent :0
339th training :=  Win Percent :100 | Draw Percent :0
340th training :=  Win Percent :90 | Draw Percent :0
341th training :=  Win Percent :100 | Draw Percent :0
342th training :=  Win Percent :70 | Draw Percent :10
343th training :=  Win Percent :90 | Draw Percent :0
344th training :=  Win Percent :80 | Draw Percent :0
345th training :=  Win Percent :100 | Draw Percent :0
346th training :=  Win Percent :90 | Draw Percent :10
347th training :=  Win Percent :100 | Draw Percent :0
348th training :=  Win Percent :100 | Draw Percent :0
349th training :=  Win Percent :100 | Draw Percent :0
350th training :=  Win Percent :100 | Draw Percent :0
351th training :=  Win Percent :100 | Draw Percent :0
352th training :=  Win Percent :100 | Draw Percent :0
353th training :=  Win Percent :100 | Draw Percent :0
354th training :=  Win Percent :90 | Draw Percent :0
355th training :=  Win Percent :100 | Draw Percent :0
356th training :=  Win Percent :100 | Draw Percent :0
357th training :=  Win Percent :90 | Draw Percent :0
358th training :=  Win Percent :100 | Draw Percent :0
359th training :=  Win Percent :100 | Draw Percent :0
360th training :=  Win Percent :80 | Draw Percent :10
361th training :=  Win Percent :90 | Draw Percent :0
362th training :=  Win Percent :90 | Draw Percent :0
363th training :=  Win Percent :80 | Draw Percent :10
364th training :=  Win Percent :90 | Draw Percent :10
365th training :=  Win Percent :100 | Draw Percent :0
366th training :=  Win Percent :100 | Draw Percent :0
367th training :=  Win Percent :100 | Draw Percent :0
368th training :=  Win Percent :100 | Draw Percent :0
369th training :=  Win Percent :100 | Draw Percent :0
370th training :=  Win Percent :100 | Draw Percent :0
371th training :=  Win Percent :90 | Draw Percent :10
372th training :=  Win Percent :100 | Draw Percent :0
373th training :=  Win Percent :80 | Draw Percent :20
374th training :=  Win Percent :80 | Draw Percent :20
375th training :=  Win Percent :100 | Draw Percent :0
376th training :=  Win Percent :100 | Draw Percent :0
377th training :=  Win Percent :90 | Draw Percent :10
378th training :=  Win Percent :100 | Draw Percent :0
379th training :=  Win Percent :100 | Draw Percent :0
380th training :=  Win Percent :90 | Draw Percent :0
381th training :=  Win Percent :100 | Draw Percent :0
382th training :=  Win Percent :100 | Draw Percent :0
383th training :=  Win Percent :90 | Draw Percent :10
384th training :=  Win Percent :80 | Draw Percent :20
385th training :=  Win Percent :100 | Draw Percent :0
386th training :=  Win Percent :100 | Draw Percent :0
387th training :=  Win Percent :100 | Draw Percent :0
388th training :=  Win Percent :100 | Draw Percent :0
389th training :=  Win Percent :90 | Draw Percent :10
390th training :=  Win Percent :70 | Draw Percent :30
391th training :=  Win Percent :80 | Draw Percent :20
392th training :=  Win Percent :100 | Draw Percent :0
393th training :=  Win Percent :100 | Draw Percent :0
394th training :=  Win Percent :100 | Draw Percent :0
395th training :=  Win Percent :100 | Draw Percent :0
396th training :=  Win Percent :100 | Draw Percent :0
397th training :=  Win Percent :80 | Draw Percent :20
398th training :=  Win Percent :80 | Draw Percent :10
399th training :=  Win Percent :100 | Draw Percent :0
400th training :=  Win Percent :90 | Draw Percent :10
401th training :=  Win Percent :90 | Draw Percent :10
402th training :=  Win Percent :100 | Draw Percent :0
403th training :=  Win Percent :100 | Draw Percent :0
404th training :=  Win Percent :90 | Draw Percent :10
405th training :=  Win Percent :100 | Draw Percent :0
406th training :=  Win Percent :100 | Draw Percent :0
407th training :=  Win Percent :100 | Draw Percent :0
408th training :=  Win Percent :100 | Draw Percent :0
