No of Trainings | Percentage0th training :=  Win Percent :-nan | Draw Percent :-nan | Lost Percent :-nan
185th training :=  Win Percent :-nan | Draw Percent :-nan | Lost Percent :-nan
186th training :=  Win Percent :-nan | Draw Percent :-nan | Lost Percent :-nan
187th training :=  Win Percent :-nan | Draw Percent :-nan | Lost Percent :-nan
188th training :=  Win Percent :-nan | Draw Percent :-nan | Lost Percent :-nan
189th training :=  Win Percent :-nan | Draw Percent :-nan | Lost Percent :-nan
190th training :=  Win Percent :-nan | Draw Percent :-nan | Lost Percent :-nan
191th training :=  Win Percent :-nan | Draw Percent :-nan | Lost Percent :-nan
192th training :=  Win Percent :-nan | Draw Percent :-nan | Lost Percent :-nan
193th training :=  Win Percent :-nan | Draw Percent :-nan | Lost Percent :-nan
194th training :=  Win Percent :-nan | Draw Percent :-nan | Lost Percent :-nan
195th training :=  Win Percent :-nan | Draw Percent :-nan | Lost Percent :-nan
196th training :=  Win Percent :-nan | Draw Percent :-nan | Lost Percent :-nan
197th training :=  Win Percent :-nan | Draw Percent :-nan | Lost Percent :-nan
198th training :=  Win Percent :-nan | Draw Percent :-nan | Lost Percent :-nan
199th training :=  Win Percent :-nan | Draw Percent :-nan | Lost Percent :-nan
200th training :=  Win Percent :-nan | Draw Percent :-nan | Lost Percent :-nan
201th training :=  Win Percent :-nan | Draw Percent :-nan | Lost Percent :-nan
202th training :=  Win Percent :-nan | Draw Percent :-nan | Lost Percent :-nan
203th training :=  Win Percent :-nan | Draw Percent :-nan | Lost Percent :-nan
204th training :=  Win Percent :-nan | Draw Percent :-nan | Lost Percent :-nan
205th training :=  Win Percent :-nan | Draw Percent :-nan | Lost Percent :-nan
206th training :=  Win Percent :-nan | Draw Percent :-nan | Lost Percent :-nan
207th training :=  Win Percent :-nan | Draw Percent :-nan | Lost Percent :-nan
208th training :=  Win Percent :-nan | Draw Percent :-nan | Lost Percent :-nan
209th training :=  Win Percent :-nan | Draw Percent :-nan | Lost Percent :-nan
210th training :=  Win Percent :-nan | Draw Percent :-nan | Lost Percent :-nan
211th training :=  Win Percent :-nan | Draw Percent :-nan | Lost Percent :-nan
212th training :=  Win Percent :-nan | Draw Percent :-nan | Lost Percent :-nan
213th training :=  Win Percent :-nan | Draw Percent :-nan | Lost Percent :-nan
214th training :=  Win Percent :-nan | Draw Percent :-nan | Lost Percent :-nan
215th training :=  Win Percent :-nan | Draw Percent :-nan | Lost Percent :-nan
216th training :=  Win Percent :-nan | Draw Percent :-nan | Lost Percent :-nan
217th training :=  Win Percent :-nan | Draw Percent :-nan | Lost Percent :-nan
218th training :=  Win Percent :-nan | Draw Percent :-nan | Lost Percent :-nan
219th training :=  Win Percent :-nan | Draw Percent :-nan | Lost Percent :-nan
220th training :=  Win Percent :-nan | Draw Percent :-nan | Lost Percent :-nan
221th training :=  Win Percent :-nan | Draw Percent :-nan | Lost Percent :-nan
222th training :=  Win Percent :-nan | Draw Percent :-nan | Lost Percent :-nan
223th training :=  Win Percent :-nan | Draw Percent :-nan | Lost Percent :-nan
224th training :=  Win Percent :-nan | Draw Percent :-nan | Lost Percent :-nan
225th training :=  Win Percent :-nan | Draw Percent :-nan | Lost Percent :-nan
226th training :=  Win Percent :-nan | Draw Percent :-nan | Lost Percent :-nan
227th training :=  Win Percent :-nan | Draw Percent :-nan | Lost Percent :-nan
228th training :=  Win Percent :-nan | Draw Percent :-nan | Lost Percent :-nan
229th training :=  Win Percent :-nan | Draw Percent :-nan | Lost Percent :-nan
230th training :=  Win Percent :-nan | Draw Percent :-nan | Lost Percent :-nan
231th training :=  Win Percent :-nan | Draw Percent :-nan | Lost Percent :-nan
232th training :=  Win Percent :-nan | Draw Percent :-nan | Lost Percent :-nan
233th training :=  Win Percent :-nan | Draw Percent :-nan | Lost Percent :-nan
234th training :=  Win Percent :-nan | Draw Percent :-nan | Lost Percent :-nan
235th training :=  Win Percent :-nan | Draw Percent :-nan | Lost Percent :-nan
236th training :=  Win Percent :-nan | Draw Percent :-nan | Lost Percent :-nan
237th training :=  Win Percent :-nan | Draw Percent :-nan | Lost Percent :-nan
238th training :=  Win Percent :-nan | Draw Percent :-nan | Lost Percent :-nan
239th training :=  Win Percent :-nan | Draw Percent :-nan | Lost Percent :-nan
240th training :=  Win Percent :-nan | Draw Percent :-nan | Lost Percent :-nan
241th training :=  Win Percent :-nan | Draw Percent :-nan | Lost Percent :-nan
242th training :=  Win Percent :-nan | Draw Percent :-nan | Lost Percent :-nan
243th training :=  Win Percent :-nan | Draw Percent :-nan | Lost Percent :-nan
244th training :=  Win Percent :-nan | Draw Percent :-nan | Lost Percent :-nan
245th training :=  Win Percent :-nan | Draw Percent :-nan | Lost Percent :-nan
246th training :=  Win Percent :-nan | Draw Percent :-nan | Lost Percent :-nan
247th training :=  Win Percent :-nan | Draw Percent :-nan | Lost Percent :-nan
248th training :=  Win Percent :-nan | Draw Percent :-nan | Lost Percent :-nan
249th training :=  Win Percent :-nan | Draw Percent :-nan | Lost Percent :-nan
250th training :=  Win Percent :-nan | Draw Percent :-nan | Lost Percent :-nan
251th training :=  Win Percent :-nan | Draw Percent :-nan | Lost Percent :-nan
252th training :=  Win Percent :-nan | Draw Percent :-nan | Lost Percent :-nan
253th training :=  Win Percent :-nan | Draw Percent :-nan | Lost Percent :-nan
