No of Trainings | Percentage0th training :=  Win Percent :81.4 | Draw Percent :12.2 | Lost Percent :6.4
136th training :=  Win Percent :93.5 | Draw Percent :3.7 | Lost Percent :2.8
137th training :=  Win Percent :92.8 | Draw Percent :3.8 | Lost Percent :3.4
138th training :=  Win Percent :91.2 | Draw Percent :5.3 | Lost Percent :3.5
139th training :=  Win Percent :93.2 | Draw Percent :4.3 | Lost Percent :2.5
140th training :=  Win Percent :93.9 | Draw Percent :3.8 | Lost Percent :2.3
141th training :=  Win Percent :92.9 | Draw Percent :3.7 | Lost Percent :3.4
142th training :=  Win Percent :90.6 | Draw Percent :4.7 | Lost Percent :4.7
143th training :=  Win Percent :92.1 | Draw Percent :4.7 | Lost Percent :3.2
144th training :=  Win Percent :92.6 | Draw Percent :3.9 | Lost Percent :3.5
145th training :=  Win Percent :91.6 | Draw Percent :4 | Lost Percent :4.4
146th training :=  Win Percent :92.3 | Draw Percent :4.2 | Lost Percent :3.5
147th training :=  Win Percent :93.2 | Draw Percent :4 | Lost Percent :2.8
148th training :=  Win Percent :92.2 | Draw Percent :4.5 | Lost Percent :3.3
149th training :=  Win Percent :91.9 | Draw Percent :5.2 | Lost Percent :2.9
150th training :=  Win Percent :92.9 | Draw Percent :4.3 | Lost Percent :2.8
151th training :=  Win Percent :92.6 | Draw Percent :4.6 | Lost Percent :2.8
152th training :=  Win Percent :92.9 | Draw Percent :3.8 | Lost Percent :3.3
153th training :=  Win Percent :94.5 | Draw Percent :2.6 | Lost Percent :2.9
154th training :=  Win Percent :91.9 | Draw Percent :4.5 | Lost Percent :3.6
155th training :=  Win Percent :91.6 | Draw Percent :4.1 | Lost Percent :4.3
156th training :=  Win Percent :93.4 | Draw Percent :3.9 | Lost Percent :2.7
157th training :=  Win Percent :91.9 | Draw Percent :3.9 | Lost Percent :4.2
158th training :=  Win Percent :91.3 | Draw Percent :4.8 | Lost Percent :3.9
159th training :=  Win Percent :92.6 | Draw Percent :4.3 | Lost Percent :3.1
160th training :=  Win Percent :92.5 | Draw Percent :4.1 | Lost Percent :3.4
161th training :=  Win Percent :93.3 | Draw Percent :3.4 | Lost Percent :3.3
162th training :=  Win Percent :90.9 | Draw Percent :5.7 | Lost Percent :3.4
163th training :=  Win Percent :93.1 | Draw Percent :4.3 | Lost Percent :2.6
164th training :=  Win Percent :91.4 | Draw Percent :4.6 | Lost Percent :4
165th training :=  Win Percent :94 | Draw Percent :3.5 | Lost Percent :2.5
166th training :=  Win Percent :92.4 | Draw Percent :4.9 | Lost Percent :2.7
167th training :=  Win Percent :91.7 | Draw Percent :5 | Lost Percent :3.3
168th training :=  Win Percent :92.5 | Draw Percent :4.4 | Lost Percent :3.1
169th training :=  Win Percent :92.3 | Draw Percent :4.3 | Lost Percent :3.4
170th training :=  Win Percent :92.7 | Draw Percent :4.8 | Lost Percent :2.5
171th training :=  Win Percent :92.5 | Draw Percent :4.7 | Lost Percent :2.8
172th training :=  Win Percent :93.9 | Draw Percent :3.7 | Lost Percent :2.4
173th training :=  Win Percent :89.8 | Draw Percent :5.4 | Lost Percent :4.8
174th training :=  Win Percent :92.4 | Draw Percent :4.7 | Lost Percent :2.9
175th training :=  Win Percent :91.2 | Draw Percent :5.3 | Lost Percent :3.5
176th training :=  Win Percent :92.8 | Draw Percent :3.9 | Lost Percent :3.3
177th training :=  Win Percent :92.5 | Draw Percent :3.9 | Lost Percent :3.6
178th training :=  Win Percent :92.3 | Draw Percent :4.8 | Lost Percent :2.9
179th training :=  Win Percent :92.1 | Draw Percent :4.4 | Lost Percent :3.5
180th training :=  Win Percent :92.4 | Draw Percent :4.8 | Lost Percent :2.8
181th training :=  Win Percent :92.2 | Draw Percent :4.9 | Lost Percent :2.9
182th training :=  Win Percent :92.7 | Draw Percent :4.6 | Lost Percent :2.7
183th training :=  Win Percent :93.5 | Draw Percent :3.7 | Lost Percent :2.8
184th training :=  Win Percent :92.8 | Draw Percent :3.5 | Lost Percent :3.7
185th training :=  Win Percent :91.6 | Draw Percent :4.7 | Lost Percent :3.7
186th training :=  Win Percent :91.8 | Draw Percent :4.8 | Lost Percent :3.4
187th training :=  Win Percent :91.4 | Draw Percent :4.8 | Lost Percent :3.8
188th training :=  Win Percent :91.6 | Draw Percent :4.5 | Lost Percent :3.9
189th training :=  Win Percent :91.2 | Draw Percent :5.5 | Lost Percent :3.3
190th training :=  Win Percent :91.9 | Draw Percent :4.9 | Lost Percent :3.2
191th training :=  Win Percent :91.8 | Draw Percent :4.9 | Lost Percent :3.3
192th training :=  Win Percent :91 | Draw Percent :6.3 | Lost Percent :2.7
193th training :=  Win Percent :91.8 | Draw Percent :4.4 | Lost Percent :3.8
194th training :=  Win Percent :92.1 | Draw Percent :4 | Lost Percent :3.9
195th training :=  Win Percent :92.5 | Draw Percent :4 | Lost Percent :3.5
196th training :=  Win Percent :91.8 | Draw Percent :5.2 | Lost Percent :3
197th training :=  Win Percent :92.1 | Draw Percent :4 | Lost Percent :3.9
198th training :=  Win Percent :91.6 | Draw Percent :5.3 | Lost Percent :3.1
199th training :=  Win Percent :91.5 | Draw Percent :4 | Lost Percent :4.5
