No of Trainings | Percentage0th training :=  Win Percent :85 | Draw Percent :8 | Lost Percent :7
378th training :=  Win Percent :97 | Draw Percent :2 | Lost Percent :1
379th training :=  Win Percent :94 | Draw Percent :5 | Lost Percent :1
380th training :=  Win Percent :96 | Draw Percent :2 | Lost Percent :2
381th training :=  Win Percent :98 | Draw Percent :1 | Lost Percent :1
382th training :=  Win Percent :98 | Draw Percent :1 | Lost Percent :1
383th training :=  Win Percent :96 | Draw Percent :4 | Lost Percent :0
384th training :=  Win Percent :93 | Draw Percent :7 | Lost Percent :0
385th training :=  Win Percent :97 | Draw Percent :3 | Lost Percent :0
386th training :=  Win Percent :97 | Draw Percent :3 | Lost Percent :0
387th training :=  Win Percent :97 | Draw Percent :2 | Lost Percent :1
388th training :=  Win Percent :95 | Draw Percent :2 | Lost Percent :3
389th training :=  Win Percent :98 | Draw Percent :1 | Lost Percent :1
390th training :=  Win Percent :98 | Draw Percent :1 | Lost Percent :1
391th training :=  Win Percent :98 | Draw Percent :1 | Lost Percent :1
392th training :=  Win Percent :95 | Draw Percent :1 | Lost Percent :4
393th training :=  Win Percent :96 | Draw Percent :1 | Lost Percent :3
394th training :=  Win Percent :94 | Draw Percent :4 | Lost Percent :2
395th training :=  Win Percent :96 | Draw Percent :3 | Lost Percent :1
396th training :=  Win Percent :99 | Draw Percent :1 | Lost Percent :0
397th training :=  Win Percent :99 | Draw Percent :1 | Lost Percent :0
398th training :=  Win Percent :98 | Draw Percent :0 | Lost Percent :2
399th training :=  Win Percent :98 | Draw Percent :1 | Lost Percent :1
400th training :=  Win Percent :95 | Draw Percent :3 | Lost Percent :2
401th training :=  Win Percent :96 | Draw Percent :3 | Lost Percent :1
402th training :=  Win Percent :95 | Draw Percent :4 | Lost Percent :1
403th training :=  Win Percent :95 | Draw Percent :4 | Lost Percent :1
404th training :=  Win Percent :97 | Draw Percent :0 | Lost Percent :3
405th training :=  Win Percent :96 | Draw Percent :3 | Lost Percent :1
406th training :=  Win Percent :97 | Draw Percent :2 | Lost Percent :1
